學年度,學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
111,21,國立暨南國際大學,4131023,管理學院兩岸高階主管經營管理境外碩士在職學位學程,N 職,M 碩士,39,26,13,11,10,13,3,1,0,1,0,0,0,0,0,0,0,0,0,08 南投縣,1 一般
111,1017,實踐大學,4199036,管理學院創意產業博士班,D 日,D 博士,27,12,15,3,0,3,1,1,3,2,8,0,1,2,1,1,1,0,0,30 臺北市,1 一般
111,1010,元智大學,4131021,管理學院創新經營管理越南境外碩士在職專班,N 職,M 碩士,10,6,4,0,0,1,0,3,2,2,2,0,0,0,0,0,0,0,0,03 桃園市,1 一般
111,3,國立臺灣大學,4199148,管理學院創業創新管理碩士在職專班,N 職,M 碩士,78,44,34,16,13,16,14,10,6,0,1,2,0,0,0,0,0,0,0,30 臺北市,1 一般
111,1010,元智大學,4199018,管理學院博士班,D 日,D 博士,75,40,35,6,8,5,6,6,3,7,6,5,3,7,3,4,6,0,0,03 桃園市,1 一般
111,1012,大葉大學,4199029,管理學院博士班,D 日,D 博士,52,32,20,7,5,1,5,5,4,5,2,7,3,4,0,3,1,0,0,07 彰化縣,1 一般
111,53,國立高雄科技大學,4199106,管理學院博士班管理組,D 日,D 博士,59,40,19,8,3,5,3,3,5,9,0,7,4,4,0,4,4,0,0,50 高雄市,2 技職
111,53,國立高雄科技大學,4199106,管理學院博士班財金組,D 日,D 博士,15,10,5,6,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,50 高雄市,2 技職
111,1020,南華大學,4141030,管理學院國際企業學士學位學程,D 日,B 學士,122,53,69,1,14,5,19,20,13,6,13,0,0,0,0,0,0,21,10,10 嘉義縣,1 一般
111,4,國立臺灣師範大學,99999078,管理學院國際時尚高階管理碩士在職專班,N 職,M 碩士,81,18,63,4,33,8,22,2,4,3,3,0,1,1,0,0,0,0,0,30 臺北市,3 師範
111,39,國立臺中教育大學,4131040,管理學院國際經營管理碩士在職專班,N 職,M 碩士,40,18,22,10,12,8,7,0,3,0,0,0,0,0,0,0,0,0,0,19 臺中市,3 師範
111,39,國立臺中教育大學,4131040,管理學院國際經營管理碩士學位學程,D 日,M 碩士,16,1,15,1,5,0,4,0,3,0,3,0,0,0,0,0,0,0,0,19 臺中市,3 師範
111,9,國立中山大學,4131022,管理學院國際經營管理碩士學程,D 日,M 碩士,136,49,87,16,33,22,26,4,21,7,7,0,0,0,0,0,0,0,0,50 高雄市,1 一般
111,18,國立嘉義大學,10151110,管理學院外籍生全英文授課觀光暨管理碩士學位學程,D 日,M 碩士,12,4,8,1,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,20 嘉義市,1 一般
111,21,國立暨南國際大學,4131048,管理學院學士班,D 日,B 學士,158,69,89,17,34,23,29,16,13,13,13,0,0,0,0,0,0,0,0,08 南投縣,1 一般
