"學年度","細學類","細學類名稱","科系名稱","日間∕進修別","等級別","總計","男生計","女生計","一年級男生","一年級女生","二年級男生","二年級女生","三年級男生","三年級女生","四年級男生","四年級女生","五年級男生","五年級女生","六年級男生","六年級女生","七年級男生","七年級女生","延修生男生","延修生女生"
111,01111,綜合教育細學類,教育學研究所教育學碩士在職專班,N 職,M 碩士,93,15,78,6,23,4,25,4,10,1,12,0,8,0,0,0,0,0,0
111,01111,綜合教育細學類,教育學研究所教育學碩士班,D 日,M 碩士,26,4,22,0,13,2,3,1,2,1,3,0,1,0,0,0,0,0,0
111,01111,綜合教育細學類,教育學研究所課程博士班,D 日,D 博士,27,14,13,3,1,2,1,1,4,2,3,0,1,3,0,3,3,0,0
111,01111,綜合教育細學類,教育學研究所課程與教學碩士班,D 日,M 碩士,22,14,8,4,1,4,4,2,0,4,2,0,1,0,0,0,0,0,0
111,01111,綜合教育細學類,教育學院學士班,D 日,B 學士,71,27,44,9,15,13,15,5,14,0,0,0,0,0,0,0,0,0,0
111,01111,綜合教育細學類,教師專業發展研究所,D 日,M 碩士,34,10,24,3,5,1,9,3,5,3,5,0,0,0,0,0,0,0,0
111,01111,綜合教育細學類,教師專業碩士學位學程,D 日,M 碩士,120,32,88,9,42,11,23,12,23,0,0,0,0,0,0,0,0,0,0
111,01111,綜合教育細學類,運動與健康現役軍人營區碩士在職專班,N 職,M 碩士,3,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
111,01111,綜合教育細學類,諮商心理與人力資源發展學系,D 日,B 學士,194,55,139,12,34,13,35,11,35,18,28,0,0,0,0,0,0,1,7
111,01111,綜合教育細學類,諮商心理與人力資源發展學系終身學習與人力資源發展碩士班,D 日,M 碩士,52,8,44,4,14,1,16,1,7,2,6,0,1,0,0,0,0,0,0
111,01111,綜合教育細學類,諮商心理與人力資源發展學系輔導與諮商碩士班,D 日,M 碩士,100,24,76,7,17,3,21,5,17,8,16,1,2,0,3,0,0,0,0
111,01112,成人教育細學類,成人及繼續教育學系,D 日,D 博士,40,13,27,1,8,5,4,3,3,2,7,2,1,0,4,0,0,0,0
111,01112,成人教育細學類,成人及繼續教育學系,D 日,M 碩士,44,10,34,6,6,2,15,1,3,1,10,0,0,0,0,0,0,0,0
111,01112,成人教育細學類,成人及繼續教育學系,D 日,B 學士,111,35,76,11,19,7,22,10,12,7,18,0,0,0,0,0,0,0,5
111,01112,成人教育細學類,成人及繼續教育學系,N 職,M 碩士,94,11,83,3,24,3,24,3,23,1,8,1,4,0,0,0,0,0,0
111,01112,成人教育細學類,成人及繼續教育學系高齡者教育碩士班,D 日,M 碩士,42,10,32,4,9,2,12,4,5,0,5,0,1,0,0,0,0,0,0
111,01112,成人教育細學類,成人教育研究所,D 日,D 博士,65,32,33,3,7,6,6,4,5,6,4,3,3,5,6,5,2,0,0
111,01112,成人教育細學類,成人教育研究所,D 日,M 碩士,60,9,51,3,15,1,12,2,10,3,12,0,1,0,1,0,0,0,0
111,01112,成人教育細學類,成人教育研究所組織發展與領導碩士在職專班(夜間班),N 職,M 碩士,63,27,36,12,18,12,17,2,1,0,0,0,0,1,0,0,0,0,0
111,01112,成人教育細學類,終身學習與人力資源發展碩士學位學程,N 職,M 碩士,62,14,48,3,19,2,12,4,8,3,1,0,4,2,4,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系,D 日,D 博士,19,7,12,0,3,0,3,2,1,1,1,0,3,2,1,2,0,0,0
111,01113,特殊教育細學類,特殊教育學系,D 日,D 博士,24,7,17,2,0,1,2,2,1,0,6,2,1,0,4,0,3,0,0
111,01113,特殊教育細學類,特殊教育學系,D 日,D 博士,31,11,20,2,7,2,2,3,2,0,4,3,3,1,2,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系,D 日,M 碩士,48,5,43,3,13,1,12,1,9,0,8,0,1,0,0,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系,D 日,M 碩士,43,11,32,3,12,3,11,2,8,1,1,1,0,1,0,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系,D 日,M 碩士,42,12,30,3,7,3,9,5,3,1,8,0,2,0,1,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系,D 日,M 碩士,53,7,46,1,13,1,11,2,7,1,11,2,2,0,2,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系,D 日,M 碩士,23,4,19,1,4,1,7,0,5,1,2,1,1,0,0,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系,D 日,M 碩士,68,17,51,4,15,5,17,6,8,2,11,0,0,0,0,0,0,0,0
